
          Welcome to the Rectangle Wizard           
  This program will compute the area and perimeter  
       of rectangles from the length and width      
            of each, as per your input.             

Please enter the length and width of 1000 rectangles
in the form of length, width (number comma number)
- one pair on each line


The properties of the rectangle(s) are:

Rectangle #      Length       Width   Perimeter        Area
        321          81          39         240        3159
        322          22          19          82         418
        323          63          71         268        4473
        324          80          13         186        1040
        325          86          78         328        6708
        326           5          37          84         185
        327          84          77         322        6468
        328          60           8         136         480
        329          45          58         206        2610
        330          12         100         224        1200
        331          51          28         158        1428
        332          61          37         196        2257
        333           6          19          50         114
        334          50          64         228        3200
        335          12          45         114         540
        336          35           6          82         210
        337          76          92         336        6992
        338          15          56         142         840
        339          69          90         318        6210
        340          19          94         226        1786
        341          83           6         178         498
        342          83          23         212        1909
        343          31          18          98         558
        344          75          94         338        7050
        345          94          27         242        2538
        346          54          87         282        4698
        347          75          44         238        3300
        348          14          15          58         210
        349          78          80         316        6240
        350          76          63         278        4788
        351          20          89         218        1780
        352          33          11          88         363
        353          18          95         226        1710
        354          36          47         166        1692
        355          92          38         260        3496
        356          44          54         196        2376
        357          29          74         206        2146
        358          92          26         236        2392
        359          19          11          60         209
        360          37          18         110         666
        361          56          64         240        3584
        362          59          91         300        5369
        363           5          31          72         155
        364          62          72         268        4464
        365          86          34         240        2924
        366          74          90         328        6660
        367          52           5         114         260
        368          51           6         114         306
        369           4          69         146         276
        370           7          86         186         602
        371          40          96         272        3840
        372          21          50         142        1050
        373          27          68         190        1836
        374          78          64         284        4992
        375          82          97         358        7954
        376          61          66         254        4026
        377          56          37         186        2072
        378          19          71         180        1349
        379          43          12         110         516
        380          97          33         260        3201
        381          22          80         204        1760
        382          85          71         312        6035
        383          28          73         202        2044
        384          41          35         152        1435
        385          73          84         314        6132
        386          31          99         260        3069
        387          48          64         224        3072
        388          31          51         164        1581
        389          15          74         178        1110
        390          23          60         166        1380
        391          25          48         146        1200
        392          36          83         238        2988
        393           5          33          76         165
        394          44          55         198        2420
        395          87          99         372        8613
        396          79          41         240        3239
        397          63          60         246        3780
        398          84          63         294        5292
        399          49          42         182        2058
        400          25          24          98         600
        401          23          73         192        1679
        402          36          55         182        1980
        403          58          22         160        1276
        404          48          66         228        3168
        405          77          72         298        5544
        406          19          70         178        1330
        407           4           2          12           8
        408          34          54         176        1836
        409          60           8         136         480
        410           7          29          72         203
        411          21          98         238        2058
        412           9          85         188         765
        413          99          35         268        3465
        414          77          92         338        7084
        415          16          99         230        1584
        416          72          53         250        3816
        417          60          90         300        5400
        418          11           7          36          77
        419          25          17          84         425
        420          40          10         100         400
        421          79           1         160          79
        422          54          10         128         540
        423          15          82         194        1230
        424          90          39         258        3510
        425          68          27         190        1836
        426          24          48         144        1152
        427          32          88         240        2816
        428          23          33         112         759
        429          76          82         316        6232
        430          80          51         262        4080
        431          55          91         292        5005
        432          32          51         166        1632
        433          58          14         144         812
        434          82          95         354        7790
        435           4          82         172         328
        436          34          21         110         714
        437          82          83         330        6806
        438          16          88         208        1408
        439          26          97         246        2522
        440          23           5          56         115
        441          52          93         290        4836
        442          33          98         262        3234
        443          82          35         234        2870
        444          16           7          46         112
        445           9          58         134         522
        446         100          96         392        9600
        447          98          63         322        6174
        448          77          84         322        6468
        449          78          55         266        4290
        450          88          10         196         880
        451          83          33         232        2739
        452          67          22         178        1474
        453          61          64         250        3904
        454          12          83         190         996
        455          87          86         346        7482
        456          31          86         234        2666
        457          84          91         350        7644
        458          77          15         184        1155
        459          21          17          76         357
        460          26          93         238        2418
        461          40          29         138        1160
        462          91          26         234        2366
        463          61          37         196        2257
        464          44          19         126         836
        465          29          38         134        1102
        466          22          83         210        1826
        467          56          11         134         616
        468          26          89         230        2314
        469          71          16         174        1136
        470          54          38         184        2052
        471          23           9          64         207
        472          51          84         270        4284
        473          98          58         312        5684
        474          27          28         110         756
        475          72          70         284        5040
        476          50          52         204        2600
        477          29          11          80         319
        478          99          40         278        3960
        479          11          89         200         979
        480          78          94         344        7332
        481          77          91         336        7007
        482          53         100         306        5300
        483          88          32         240        2816
        484         100          78         356        7800
        485          67          58         250        3886
        486          18          53         142         954
        487          36          42         156        1512
        488          99          69         336        6831
        489          96          85         362        8160
        490           6          77         166         462
        491          29          67         192        1943
        492          29          55         168        1595
        493          94           9         206         846
        494          98          79         354        7742
        495          73          56         258        4088
        496          46          75         242        3450
        497          26           1          54          26
        498          84          98         364        8232
        499          28          13          82         364
        500          22          83         210        1826
        501          35          94         258        3290
        502          35          40         150        1400
        503          60          22         164        1320
        504          58          86         288        4988
        505          62          55         234        3410
        506          73          63         272        4599
        507          17          42         118         714
        508          51          53         208        2703
        509          83          63         292        5229
        510          18         100         236        1800
        511          74          55         258        4070
        512           7          16          46         112
        513          65          52         234        3380
        514          64          91         310        5824
        515          73          92         330        6716
        516          38          38         152        1444
        517          29          60         178        1740
        518          81          72         306        5832
        519          57          88         290        5016
        520          42          91         266        3822
        521          53          71         248        3763
        522          12          66         156         792
        523          18          70         176        1260
        524          84          62         292        5208
        525          13          52         130         676
        526           7           1          16           7
        527          68          39         214        2652
        528          90          65         310        5850
        529          55          33         176        1815
        530          76           5         162         380
        531          42          80         244        3360
        532          39          13         104         507
        533          37          70         214        2590
        534          57          71         256        4047
        535          61          45         212        2745
        536          15          50         130         750
        537          15          66         162         990
        538          87          27         228        2349
        539          40          84         248        3360
        540          36          70         212        2520
        541          22          53         150        1166
        542          91          94         370        8554
        543          10          90         200         900
        544          74          32         212        2368
        545          36          65         202        2340
        546          96          49         290        4704
        547          14          78         184        1092
        548          99          34         266        3366
        549          56          50         212        2800
        550          94          56         300        5264
        551          57          69         252        3933
        552          34          61         190        2074
        553          87          24         222        2088
        554          59          72         262        4248
        555          41          78         238        3198
        556          82          46         256        3772
        557          91          62         306        5642
        558          51          24         150        1224
        559          55           1         112          55
        560          65          76         282        4940
        561          25          43         136        1075
        562          20          60         160        1200
        563          45          90         270        4050
        564          39          70         218        2730
        565          77          52         258        4004
        566          20          84         208        1680
        567          44          34         156        1496
        568          57           5         124         285
        569          76          82         316        6232
        570          12          67         158         804
        571          13          68         162         884
        572          30          93         246        2790
        573          69           3         144         207
        574           3          32          70          96
        575           8          75         166         600
        576          17          19          72         323
        577          78          84         324        6552
        578          73          88         322        6424
        579          58          74         264        4292
        580          26          63         178        1638
        581          98          34         264        3332
        582          19          97         232        1843
        583          54          42         192        2268
        584          75          27         204        2025
        585          94          81         350        7614
        586          49          86         270        4214
        587          31           6          74         186
        588          60          30         180        1800
        589          61          99         320        6039
        590          25          63         176        1575
        591          81          20         202        1620
        592           3          42          90         126
        593          81          11         184         891
        594          84          27         222        2268
        595          41          90         262        3690
        596          24           9          66         216
        597          58          39         194        2262
        598          32          94         252        3008
        599          21          11          64         231
        600          91           6         194         546
        601          92          14         212        1288
        602          71          39         220        2769
        603          68          22         180        1496
        604          72          30         204        2160
        605          44          81         250        3564
        606         100          96         392        9600
        607          89          25         228        2225
        608          87          55         284        4785
        609          33          70         206        2310
        610          11          70         162         770
        611          31          74         210        2294
        612          64          34         196        2176
        613          80          88         336        7040
        614          50          95         290        4750
        615          52         100         304        5200
        616          65          40         210        2600
        617          31          43         148        1333
        618          16          87         206        1392
        619          16          50         132         800
        620          82          87         338        7134
        621          35          12          94         420
        622          88          34         244        2992
        623          88          23         222        2024
        624          44          74         236        3256
        625          43          20         126         860
        626          45          55         200        2475
        627          40          25         130        1000
        628          64          60         248        3840
        629          54          19         146        1026
        630          70          13         166         910
        631           5           6          22          30
        632         100          34         268        3400
        633          20          35         110         700
        634          36          16         104         576
        635          54          88         284        4752
        636          51          70         242        3570
        637           3          88         182         264
        638          63          38         202        2394
        639          11          90         202         990
        640          61           6         134         366
        641          12           5          34          60
        642          30          58         176        1740
        643          17           4          42          68
        644          22          93         230        2046
        645           6          23          58         138
        646          80          44         248        3520
        647          29          62         182        1798
        648          48          79         254        3792
        649          46           1          94          46
        650          88          83         342        7304
        651          52         100         304        5200
        652          87          90         354        7830
        653          27          54         162        1458
        654          95          49         288        4655
        655           7          37          88         259
        656          93           8         202         744
        657          65          18         166        1170
        658          21          22          86         462
        659          67          81         296        5427
        660          55          95         300        5225
        661          38          24         124         912
        662          85          34         238        2890
        663          13          18          62         234
        664          18          32         100         576
        665          66          10         152         660
        666           9          57         132         513
        667          46          70         232        3220
        668          23          96         238        2208
        669          96          72         336        6912
        670          60          70         260        4200
        671          77           2         158         154
        672          72          53         250        3816
        673          26          41         134        1066
        674          73          44         234        3212
        675          90          92         364        8280
        676          67          28         190        1876
        677          13          79         184        1027
        678          97          51         296        4947
        679          34          25         118         850
        680          87          14         202        1218
        681          71         100         342        7100
        682          69          95         328        6555
        683          42          16         116         672
        684          40          43         166        1720
        685          64          38         204        2432
        686          91          99         380        9009
        687           3          40          86         120
        688          32          14          92         448
        689          58          29         174        1682
        690          72           5         154         360
        691          84          47         262        3948
        692          26          39         130        1014
        693          41          96         274        3936
        694          73          22         190        1606
        695          35          27         124         945
        696          26          59         170        1534
        697          53          57         220        3021
        698          73          46         238        3358
        699          40          47         174        1880
        700          84          12         192        1008
        701          62           4         132         248
        702          43          26         138        1118
        703          40          17         114         680
        704          45          75         240        3375
        705          31          97         256        3007
        706          95          68         326        6460
        707          58          14         144         812
        708          61          20         162        1220
        709          93          51         288        4743
        710          77          33         220        2541
        711          91          80         342        7280
        712          36          54         180        1944
        713          99          96         390        9504
        714          42           8         100         336
        715          71          38         218        2698
        716          41          77         236        3157
        717           2          85         174         170
        718           1          84         170          84
        719          10          93         206         930
        720          41          97         276        3977
        721          64          40         208        2560
        722           5          36          82         180
        723           7          74         162         518
        724          24          65         178        1560
        725          50          52         204        2600
        726          31          52         166        1612
        727           5          40          90         200
        728          87          66         306        5742
        729          26           3          58          78
        730          92          80         344        7360
        731           8          48         112         384
        732          32          85         234        2720
        733          20          62         164        1240
        734          54          32         172        1728
        735          28          29         114         812
        736          20          95         230        1900
        737          82          44         252        3608
        738          69          24         186        1656
        739          40          88         256        3520
        740          39          44         166        1716
        741          95          89         368        8455
        742          81          21         204        1701
        743          87          99         372        8613
        744          53          19         144        1007
        745          99          64         326        6336
        746          11          96         214        1056
        747          80           6         172         480
        748          67          43         220        2881
        749          26          99         250        2574
        750          79          73         304        5767
        751          67          54         242        3618
        752          49          98         294        4802
        753          73          48         242        3504
        754          87          17         208        1479
        755          60          13         146         780
        756           1          78         158          78
        757          98          54         304        5292
        758           4          33          74         132
        759          52          36         176        1872
        760          99           8         214         792
        761          55          50         210        2750
        762           7          62         138         434
        763           4          35          78         140
        764          85          26         222        2210
        765          98          29         254        2842
        766          34          64         196        2176
        767          61          16         154         976
        768          15          82         194        1230
        769          98          86         368        8428
        770          98           1         198          98
        771          30           9          78         270
        772          14          50         128         700
        773          35          80         230        2800
        774          15          17          64         255
        775          76          86         324        6536
        776          87          66         306        5742
        777          27          31         116         837
        778          17          93         220        1581
        779          70          30         200        2100
        780          10          53         126         530
        781          16          67         166        1072
        782          34          96         260        3264
        783          77          29         212        2233
        784          14          48         124         672
        785           1          27          56          27
        786          87          63         300        5481
        787          64          30         188        1920
        788           9           1          20           9
        789          17          98         230        1666
        790          83          76         318        6308
        791          41          45         172        1845
        792          27          21          96         567
        793          66          19         170        1254
        794         100          95         390        9500
        795          47          35         164        1645
        796          54           9         126         486
        797           4          63         134         252
        798          43          87         260        3741
        799          35          33         136        1155
        800          11           8          38          88
        801          70          35         210        2450
        802          16          97         226        1552
        803          97          85         364        8245
        804          83          25         216        2075
        805          52          66         236        3432
        806          62          17         158        1054
        807          38          44         164        1672
        808          62          88         300        5456
        809          82           3         170         246
        810          89          61         300        5429
        811          21          80         202        1680
        812          94          42         272        3948
        813          29          25         108         725
        814           9          36          90         324
        815          43          63         212        2709
        816          97          71         336        6887
        817          67          64         262        4288
        818           1          12          26          12
        819          88          16         208        1408
        820          33          35         136        1155
        821          51          91         284        4641
        822          34          94         256        3196
        823          81          40         242        3240
        824          94          95         378        8930
        825          55          14         138         770
        826          45          83         256        3735
        827          24          76         200        1824
        828          52          39         182        2028
        829          74          52         252        3848
        830          66          12         156         792
        831          82          69         302        5658
        832          84          14         196        1176
        833          78         100         356        7800
        834          15          36         102         540
        835          70          65         270        4550
        836           8          47         110         376
        837          92          73         330        6716
        838          12          41         106         492
        839          88          24         224        2112
        840          37          58         190        2146
        841          40          94         268        3760
        842          21          82         206        1722
        843          72          15         174        1080
        844          19          72         182        1368
        845          35          97         264        3395
        846          65          84         298        5460
        847          98          68         332        6664
        848          68           1         138          68
        849          36          75         222        2700
        850          91          34         250        3094
        851          33          58         182        1914
        852          30          50         160        1500
        853          91          24         230        2184
        854          48          93         282        4464
        855          50          30         160        1500
        856          23          36         118         828
        857          69          41         220        2829
        858          56          44         200        2464
        859          67          40         214        2680
        860          37          26         126         962
        861          61          54         230        3294
        862          21          53         148        1113
        863           5          58         126         290
        864          84          88         344        7392
        865          22          41         126         902
        866          98          27         250        2646
        867          28           6          68         168
        868          29          79         216        2291
        869          71          70         282        4970
        870          99          28         254        2772
        871          64          21         170        1344
        872          61          22         166        1342
        873          17          84         202        1428
        874          24          68         184        1632
        875          93          83         352        7719
        876          36          12          96         432
        877          64          54         236        3456
        878          63           9         144         567
        879          96          69         330        6624
        880          61          99         320        6039
        881          77          69         292        5313
        882          74          10         168         740
        883          88           4         184         352
        884          74          55         258        4070
        885          82          58         280        4756
        886          30          24         108         720
        887          45          97         284        4365
        888          81          43         248        3483
        889          10          13          46         130
        890          48          56         208        2688
        891          67          55         244        3685
        892          60          35         190        2100
        893          43          82         250        3526
        894           2          74         152         148
        895          72          39         222        2808
        896          59          14         146         826
        897          23         100         246        2300
        898          56          85         282        4760
        899          91          62         306        5642
        900          72          81         306        5832
        901           4          24          56          96
        902          21           1          44          21
        903          43           1          88          43
        904          13          53         132         689
        905           8           5          26          40
        906          59          60         238        3540
        907          95          26         242        2470
        908          59          18         154        1062
        909          91          37         256        3367
        910          27          61         176        1647
        911          74          15         178        1110
        912          66          38         208        2508
        913          22          49         142        1078
        914          10          21          62         210
        915           1          64         130          64
        916          87          33         240        2871
        917          34           5          78         170
        918          57          59         232        3363
        919          11          28          78         308
        920          32          69         202        2208
        921          29          70         198        2030
        922          47          42         178        1974
        923          59          75         268        4425
        924          11           6          34          66
        925          66           2         136         132
        926          68          90         316        6120
        927          27          91         236        2457
        928          39          33         144        1287
        929           6         100         212         600
        930          63           1         128          63
        931          33          58         182        1914
        932          62          49         222        3038
        933           8          18          52         144
        934          98          70         336        6860
        935          39          70         218        2730
        936          40          29         138        1160
        937          71          19         180        1349
        938          93          86         358        7998
        939          43          81         248        3483
        940          34          55         178        1870
        941          44           8         104         352
        942          51           1         104          51
        943          86          22         216        1892
        944          21          89         220        1869
        945          41          91         264        3731
        946          48          35         166        1680
        947          84          26         220        2184
        948          95          62         314        5890
        949          31          43         148        1333
        950          64          92         312        5888
        951          21          21          84         441
        952          39          55         188        2145
        953          93          43         272        3999
        954          23          31         108         713
        955          86          35         242        3010
        956          95           9         208         855
        957           9          81         180         729
        958           3          45          96         135
        959          85          46         262        3910
        960          88          23         222        2024
        961          58          26         168        1508
        962           3          36          78         108
        963          49          93         284        4557
        964          87          97         368        8439
        965          41          31         144        1271
        966          52          50         204        2600
        967          57          13         140         741
        968          55          90         290        4950
        969          73          49         244        3577
        970          83          29         224        2407
        971          89          58         294        5162
        972          38          77         230        2926
        973          21          98         238        2058
        974          95          40         270        3800
        975          15           6          42          90
        976          83          83         332        6889
        977          70          24         188        1680
        978          16          37         106         592
        979          85          18         206        1530
        980         100          54         308        5400
        981          55          25         160        1375
        982          37          51         176        1887
        983          93          11         208        1023
        984          59          43         204        2537
        985          24          65         178        1560
        986          22          42         128         924
        987          70          12         164         840
        988          61          11         144         671
        989           3          91         188         273
        990          48          56         208        2688
        991          90          17         214        1530
        992          40          82         244        3280
        993          18          59         154        1062
        994          76           7         166         532
        995          12           2          28          24
        996          79          75         308        5925
        997          78          66         288        5148
        998          77          67         288        5159
        999          62          70         264        4340
       1000          34          35         138        1190

